INDICE;NOME;COMENTARIO;ICONE;ALTITUDE;DATA;ANGULO;DISPLAY;ZONA;Y;X;TIPO;LOCAL;DIMENSAO;TESTE
49;49;29/6/2011;101;438,24341;30/12/1989 21:00:00;0;0;21K;7542925,557;725464,355;6;CALCADA;P;1
50;50;29/6/2011;101;439,20471;30/12/1989 21:00:00;0;0;21K;7543132,894;725351,527;6;TERRENO;M;2
52;52;29/6/2011;101;438,96436;30/12/1989 21:00:00;0;0;21K;7543235,018;725325,636;6;TERRENO;M;2
53;53;29/6/2011;101;440,64661;30/12/1989 21:00:00;0;0;21K;7543388,744;725545,705;6;TERRENO;M;2
54;54;29/6/2011;101;439,44495;30/12/1989 21:00:00;0;0;21K;7543372,751;725495,82;6;TERRENO;P;1
55;55;29/6/2011;101;433,67712;30/12/1989 21:00:00;0;0;21K;7543593,341;725649,843;6;TERRENO;M;2
57;57;29/6/2011;101;430,31262;30/12/1989 21:00:00;0;0;21K;7541960,01;726580,862;1;RUA;EG;4
58;58;29/6/2011;101;413,72998;30/12/1989 21:00:00;0;0;21K;7542632,894;730301,838;2;LIMITEUR;M;2
59;59;29/6/2011;101;423,58337;30/12/1989 21:00:00;0;0;21K;7542153,665;730767,153;2;PARTICULAR;G;3
60;60;29/6/2011;101;411,56702;30/12/1989 21:00:00;0;0;21K;7542669,881;731055,503;1;BEIRAESTRADA;EG;4
61;61;29/6/2011;101;414,21069;30/12/1989 21:00:00;0;0;21K;7542090,923;730690,724;5;CALCADA;P;1
62;62;29/6/2011;101;379,84363;30/12/1989 21:00:00;0;0;21K;7539629,317;731400,283;3;TERRENO;EG;4
63;63;29/6/2011;101;394,50366;30/12/1989 21:00:00;0;0;21K;7535844,535;728781,406;3;BEIRAESTRADA;EG;4
64;64;29/6/2011;101;400,99255;30/12/1989 21:00:00;0;0;21K;7536935,523;725983,823;1;BEIRAESTRADA;G;3
65;65;29/6/2011;101;403,87659;30/12/1989 21:00:00;0;0;21K;7538966,389;725447,187;1;APP;G;3
66;66;29/6/2011;101;432,47559;30/12/1989 21:00:00;0;0;21K;7543678,316;725578,26;1;RUA;EG;4
68;68;29/6/2011;101;410,125;30/12/1989 21:00:00;0;0;21K;7542220,212;725252,732;5;TERRENO;G;3
70;70;29/6/2011;101;424,54468;30/12/1989 21:00:00;0;0;21K;7542196,666;724447,793;5;APP;P;1
71;71;29/6/2011;101;424,54468;30/12/1989 21:00:00;0;0;21K;7542233,056;724264,578;5;CALCADA;P;1
72;72;29/6/2011;101;430,79333;30/12/1989 21:00:00;0;0;21K;7540619,245;723294,112;6;TERRENO;M;2
73;73;29/6/2011;101;414,69128;30/12/1989 21:00:00;0;0;21K;7539782,588;723640,36;1;APP;G;3
74;74;29/6/2011;101;395,94568;30/12/1989 21:00:00;0;0;21K;7537795,686;724045,662;1;APP;G;3
75;75;29/6/2011;101;382,72778;30/12/1989 21:00:00;0;0;21K;7537103,809;724849,472;3;APP;G;3
76;76;29/6/2011;101;394,98438;30/12/1989 21:00:00;0;0;21K;7536837,251;725312,044;2;TERRENO;G;3
77;77;29/6/2011;101;395,22461;30/12/1989 21:00:00;0;0;21K;7538139,987;725265,508;1;TERRENO;EG;4
78;78;29/6/2011;101;434,87878;30/12/1989 21:00:00;0;0;21K;7541781,15;723880,718;6;TERRENO;P;1
80;80;29/6/2011;101;449,05811;30/12/1989 21:00:00;0;0;21K;7541301,628;724033,702;3;CALCADA;M;2
81;81;29/6/2011;101;447,37585;30/12/1989 21:00:00;0;0;21K;7541128,593;723617,228;3;TERRENO;P;1
82;82;29/6/2011;101;443,04993;30/12/1989 21:00:00;0;0;21K;7541162,471;723303,343;1;TERRENO;M;2
83;83;29/6/2011;101;441,12732;30/12/1989 21:00:00;0;0;21K;7541258,707;723121,305;6;TERRENO;P;1
84;84;29/6/2011;101;444,7323;30/12/1989 21:00:00;0;0;21K;7541386,801;722918,126;1;TERRENO;M;2
85;85;29/6/2011;101;449,77917;30/12/1989 21:00:00;0;0;21K;7541522,117;722965,979;2;TERRENO;M;2
86;86;29/6/2011;101;445,21289;30/12/1989 21:00:00;0;0;21K;7541568,001;722995,888;3;TERRENO;M;2
87;87;29/6/2011;101;419,01721;30/12/1989 21:00:00;0;0;21K;7539288,146;728171,687;1;CALCADA;G;3
88;88;29/6/2011;101;396,66675;30/12/1989 21:00:00;0;0;21K;7536831,815;729507,622;6;CALCADA;M;2
89;89;29/6/2011;101;407,96204;30/12/1989 21:00:00;0;0;21K;7536312,109;728940,334;2;TERRENO;M;2
90;90;29/6/2011;101;401,95398;30/12/1989 21:00:00;0;0;21K;7536374,15;728903,721;5;TERRENO;P;1
93;93;29/6/2011;101;401,23291;30/12/1989 21:00:00;0;0;21K;7536683,5;728966,629;6;CALCADA;P;1
95;95;29/6/2011;101;400,99255;30/12/1989 21:00:00;0;0;21K;7536216,848;729084,185;1;RUA;G;3
96;96;29/6/2011;101;398,10876;30/12/1989 21:00:00;0;0;21K;7536294,165;729079,687;6;CALCADA;P;1
98;98;29/6/2011;101;397,86841;30/12/1989 21:00:00;0;0;21K;7536532,387;729048,188;1;TERRENO;P;1
100;100;29/6/2011;101;400,51196;30/12/1989 21:00:00;0;0;21K;7536618,335;729036,971;6;TERRENO;P;1
